"KAD_GEM_CODE","KAD_NAAM","BURG_NR","BURG_GEM_KODE","BURG_NAAM","BEW_CODE","BEW_NAAM","MAPINFO_ID"
"JCB00","SINT JACOBI PAROCHIE","0063","BIL02","HET BILDT","20","LEEUWARDEN",20481
"JHN00","SINT JOHANNESGA","0051","STL00","SKARSTERLAN","20","LEEUWARDEN",20482
"JIS00","JISP","0880","WML00","WORMERLAND","24","ALKMAAR",20483
"JPS00","JUTPHAAS","0356","NWG00","NIEUWEGEIN","17","UTRECHT",20484
"JRE00","JOURE","0051","STL00","SKARSTERLAN","20","LEEUWARDEN",20485
"JSM00","JELSUM","0081","LWD01","LEEUWARDERADEEL","20","LEEUWARDEN",20486
"JVD00","JAARSVELD","0331","LPK00","LOPIK","17","UTRECHT",20487
"JWD00","JORWERD","0140","LTS00","LITTENSERADIEL","20","LEEUWARDEN",20488
"KBD00","KRABBENDIJKE","0703","RMW00","REIMERSWAAL","12","MIDDELBURG",20489
"KDC00","KEDICHEM","0545","LDM00","LEERDAM","15","ROTTERDAM",20490
"KDK01","KWADIJK","0478","ZVG00","ZEEVANG","24","ALKMAAR",20491
"KDK02","KOUDEKERK AAN DEN RIJN","1672","RWD03","RIJNWOUDE","16","ZOETERMEER",20492
"KDM00","KOUDUM","1900","FLN00","SUDWEST FRYSLAN","20","LEEUWARDEN",20493
"KDT00","KLUNDERT","1709","MDK00","MOERDIJK","13","BREDA",20494
"KGL01","NOORDER-KOGGENLAND","0420","MDB02","MEDEMBLIK","24","ALKMAAR",20495
"KGL02","WESTER-KOGGENLAND","1598","KGL03","KOGGENLAND","24","ALKMAAR",20496
"KGN00","KORTGENE","1695","BVL00","NOORD-BEVELAND","12","MIDDELBURG",20497
"KKG00","KOCKENGEN","1904","SSE00","STICHTSE VECHT","17","UTRECHT",20498
"KLG00","KRALINGEN","0599","RTD01","ROTTERDAM","15","ROTTERDAM",20499
"KLM00","KOLLUM","0079","KLM02","KOLLUMERLAND EN NIEUWKRUISLAND","20","LEEUWARDEN",20500
"KMN01","KROMMENIE","0479","ZSD00","ZAANSTAD","14","AMSTERDAM",20501
"KMN02","KLIMMEN","0986","VRD00","VOERENDAAL","18","ROERMOND",20502
"KMR00","KAMERIK","0632","WDN01","WOERDEN","17","UTRECHT",20503
"KNG00","KRUININGEN","0703","RMW00","REIMERSWAAL","12","MIDDELBURG",20504
"KOO00","KOOG AAN DE ZAAN","0479","ZSD00","ZAANSTAD","14","AMSTERDAM",20505
"KPE00","KNIJPE","0074","HRV01","HEERENVEEN","20","LEEUWARDEN",20506
"KPL01","KAPELLE","0678","KPL01","KAPELLE","12","MIDDELBURG",20507
"KPL02","KEPPEL","1876","BHT00","BRONCKHORST","25","ARNHEM",20508
"KPN01","KAMPEN","0166","KPN01","KAMPEN","23","ZWOLLE",20509
"KPN02","KRIMPEN AAN DEN IJSSEL","0542","KPN02","KRIMPEN AAN DEN IJSSEL","15","ROTTERDAM",20510
"KPN03","KRIMPEN AAN DE LEK","0643","NDL01","NEDERLEK","15","ROTTERDAM",20511
"KRD00","KERKRADE","0928","KRD00","KERKRADE","18","ROERMOND",20512
"KRE00","KUINRE","1708","SWK02","STEENWIJKERLAND","23","ZWOLLE",20513
"KRI00","KRING VAN DORTH","0262","LCM00","LOCHEM","25","ARNHEM",20514
"KSL00","KESSEL","1894","PEE00","PEEL EN MAAS","18","ROERMOND",20515
"KTB00","KLOOSTERBUREN","1663","MNE00","DE MARNE","22","GRONINGEN",20516
"KTG00","KLOETINGE","0664","GOE00","GOES","12","MIDDELBURG",20517
"KTH00","KORTENHOEF","1696","WDM02","WIJDEMEREN","14","AMSTERDAM",20518
"KTN00","KOOTEN","0059","AKS02","ACHTKARSPELEN","20","LEEUWARDEN",20519
"KTR00","KESTEREN","1740","NDR00","NEDER-BETUWE","25","ARNHEM",20520
"KTS00","KANTENS","1651","EMD03","EEMSMOND","22","GRONINGEN",20521
"KWD00","KATWOUDE","0852","WTL00","WATERLAND","24","ALKMAAR",20522
"KWK01","KATWIJK","0537","KWK01","KATWIJK","16","ZOETERMEER",20523
"KWK02","KERKWIJK","0297","ZBM00","ZALTBOMMEL","25","ARNHEM",20524
"KWL00","KLAASWAAL","0611","CSE00","CROMSTRIJEN","15","ROTTERDAM",20525
"LBH00","LOBITH EN SPIJK","0196","RWD00","RIJNWAARDEN","25","ARNHEM",20526
"LBK01","LEERBROEK","0707","ZDR00","ZEDERIK","15","ROTTERDAM",20527
"LBK02","LANGBROEK","0352","WIJ01","WIJK BIJ DUURSTEDE","17","UTRECHT",20528
"LBT00","LIMBRICHT","1883","STD01","SITTARD-GELEEN","18","ROERMOND",20529
"LCM00","LOCHEM","0262","LCM00","LOCHEM","25","ARNHEM",20530
"LDD00","LEIDERDORP","0547","LDD00","LEIDERDORP","16","ZOETERMEER",20531
"LDE01","LEENDE","1658","HZE00","HEEZE-LEENDE","19","EINDHOVEN",20532
"LDE02","LIEMPDE","0757","BTL00","BOXTEL","19","EINDHOVEN",20533
"LDM00","LEERDAM","0545","LDM00","LEERDAM","15","ROTTERDAM",20534
"LDN01","LEIDEN","0546","LDN01","LEIDEN","16","ZOETERMEER",20535
"LDN02","LEUSDEN","0327","LDN02","LEUSDEN","17","UTRECHT",20536
"LDN03","LOOSDUINEN","0518","GVH00","'S-GRAVENHAGE","16","ZOETERMEER",20537
"LDN04","LIENDEN","0214","BRN00","BUREN","25","ARNHEM",20538
"LDT00","LOOSDRECHT","1696","WDM01","WIJDEMEREN","17","UTRECHT",20539
"LEE01","LEEK","0022","LEE01","LEEK","22","GRONINGEN",20540
"LEE02","LEENS","1663","MNE00","DE MARNE","22","GRONINGEN",20541
"LEN00","LENT","0268","NMG00","NIJMEGEN","25","ARNHEM",20542
"LEU00","LEUTH","0282","UBG00","UBBERGEN","25","ARNHEM",20543
"LGD00","LANGEDIJK","0416","LGD00","LANGEDIJK","24","ALKMAAR",20544
"LGF00","LANDGRAAF","0882","LGF00","LANDGRAAF","18","ROERMOND",20545
"LGR00","LANGERAK","1927","MLW00","MOLENWAARD","15","ROTTERDAM",20546
"LGT00","LUYKSGESTEL","1724","BEK00","BERGEIJK","19","EINDHOVEN",20547
"LGZ00","LANGEZWAAG","0086","OSL00","OPSTERLAND","20","LEEUWARDEN",20548
"LHE00","LITHOIJEN","0828","OSS00","OSS","19","EINDHOVEN",20549
"LHT00","LIESHOUT","1659","LBK03","LAARBEEK","19","EINDHOVEN",20550
"LIE00","DE LIER","1783","WLD00","WESTLAND","16","ZOETERMEER",20551
"LIT00","LITH","0828","OSS00","OSS","19","EINDHOVEN",20552
"LKK00","LEKKERKERK","0643","NDL01","NEDERLEK","15","ROTTERDAM",20553
"LKL00","NIEUW-LEKKERLAND","1927","MLW00","MOLENWAARD","15","ROTTERDAM",20554
"LLS00","LELYSTAD","0995","LLS00","LELYSTAD","26","LELYSTAD",20555
"LMD01","LEXMOND","0707","ZDR00","ZEDERIK","15","ROTTERDAM",20556
"LMD02","LEIMUIDEN","1884","KAA00","KAAG EN BRAASSEM","16","ZOETERMEER",20557
"LMN00","LIMMEN","0383","CTC00","CASTRICUM","24","ALKMAAR",20558
"LMR01","LEMMER","0082","LSL00","LEMSTERLAND","20","LEEUWARDEN",20559
"LMR02","LANDSMEER","0415","LMR02","LANDSMEER","14","AMSTERDAM",20560
"LNE00","LINNE","1641","MGW00","MAASGOUW","18","ROERMOND",20561
"LNK00","LONNEKER","0153","ESD00","ENSCHEDE","23","ZWOLLE",20562
"LNN00","LOENEN","1904","SSE00","STICHTSE VECHT","17","UTRECHT",20563
"LOO00","LOON OP ZAND","0809","LOO00","LOON OP ZAND","13","BREDA",20564
"LPH00","LIPPENHUIZEN","0086","OSL00","OPSTERLAND","20","LEEUWARDEN",20565
"LPK00","LOPIK","0331","LPK00","LOPIK","17","UTRECHT",20566
"LPS00","LOPPERSUM","0024","LPS00","LOPPERSUM","22","GRONINGEN",20567
"LRN01","LAREN","0417","LRN01","LAREN","14","AMSTERDAM",20568
"LRN02","LAREN (GLD)","0262","LCM00","LOCHEM","25","ARNHEM",20569
"LRN03","LAREN-VERWOLDE","0262","LCM00","LOCHEM","25","ARNHEM",20570
"LSE00","LISSE","0553","LSE00","LISSE","16","ZOETERMEER",20571
"LSM00","LEERSUM","1581","UTS00","UTRECHTSE HEUVELRUG","17","UTRECHT",20572
"LSR00","LOSSER","0168","LSR00","LOSSER","23","ZWOLLE",20573
"LST00","LINSCHOTEN","0335","MFT01","MONTFOORT","17","UTRECHT",20574
"LTR00","LUNTEREN","0228","EDE01","EDE","25","ARNHEM",20575
"LTV00","LICHTENVOORDE","1586","GRE00","OOST GELRE","25","ARNHEM",20576
"LWD00","LEEUWARDEN","0080","LWD00","LEEUWARDEN","20","LEEUWARDEN",20577
"LWN00","LEEUWEN","0668","MAA01","WEST MAAS EN WAAL","25","ARNHEM",20578
"LWR01","LAUWERECHT","0344","UTT00","UTRECHT","17","UTRECHT",20579
"LWR02","LANGWEER","0051","STL00","SKARSTERLAN","20","LEEUWARDEN",20580
"MAA00","MAARN","1581","UTS00","UTRECHTSE HEUVELRUG","17","UTRECHT",20581
"MBE00","MAASBREE","1894","PEE00","PEEL EN MAAS","18","ROERMOND",20582
"MBM00","MAASBOMMEL","0668","MAA01","WEST MAAS EN WAAL","25","ARNHEM",20583
"MBT00","MAASBRACHT","1641","MGW00","MAASGOUW","18","ROERMOND",20584
"MCG00","SINT MICHIELSGESTEL","0845","MCG00","SINT-MICHIELSGESTEL","19","EINDHOVEN",20585
"MDB01","MIDDELBURG","0687","MDB01","MIDDELBURG","12","MIDDELBURG",20586
"MDB02","MEDEMBLIK","0420","MDB02","MEDEMBLIK","24","ALKMAAR",20587
"MDB03","OOST-,WEST- EN MIDDELBEERS","0823","OST00","OIRSCHOT","19","EINDHOVEN",20588
"MDE01","MADE EN DRIMMELEN","1719","DML00","DRIMMELEN","13","BREDA",20589
"MDE02","HOOGE EN LAGE MIERDE","1667","RSL00","REUSEL-DE MIERDEN","19","EINDHOVEN",20590
"MDH00","MIDDELHARNIS","1924","GRE01","GOEREE-OVERFLAKKEE","15","ROTTERDAM",20591
"GVH47","'S-GRAVENHAGE BH","0518","GVH00","'S-GRAVENHAGE","16","ZOETERMEER",20352
"GVH48","'S-GRAVENHAGE BI","0518","GVH00","'S-GRAVENHAGE","16","ZOETERMEER",20353
"GVH49","'S-GRAVENHAGE BK","0518","GVH00","'S-GRAVENHAGE","16","ZOETERMEER",20354
"GVL00","'S-GRAVELAND","1696","WDM02","WIJDEMEREN","14","AMSTERDAM",20355
"GVM00","'S-GRAVENMOER","0766","DGN01","DONGEN","13","BREDA",20356
"GVT00","GEERVLIET","0568","BNS04","BERNISSE","15","ROTTERDAM",20357
"GVZ00","'S-GRAVENZANDE","1783","WLD00","WESTLAND","16","ZOETERMEER",20358
"GWD00","GOUDSWAARD","0588","KRD01","KORENDIJK","15","ROTTERDAM",20359
"GZE00","GILZE EN RIJEN","0784","GZE00","GILZE EN RIJEN","13","BREDA",20360
"HAL00","HALL","0213","BMN01","BRUMMEN","25","ARNHEM",20361
"HAM00","DEN HAM","1700","TTR01","TWENTERAND","23","ZWOLLE",20362
"HBG01","HAAKSBERGEN","0158","HBG01","HAAKSBERGEN","23","ZWOLLE",20363
"HBG02","HULSBERG","0951","NUT00","NUTH","18","ROERMOND",20364
"HBG03","HUIJBERGEN","0873","WDT00","WOENSDRECHT","13","BREDA",20365
"HBK00","HOENSBROEK","0917","HLN01","HEERLEN","18","ROERMOND",20366
"HBL00","HOOGBLOKLAND","0689","GSL00","GIESSENLANDEN","15","ROTTERDAM",20367
"HDB01","AMBT-HARDENBERG","0160","HDB00","HARDENBERG","23","ZWOLLE",20368
"HDB02","STAD-HARDENBERG","0160","HDB00","HARDENBERG","23","ZWOLLE",20369
"HDE00","HEERDE","0246","HDE00","HEERDE","25","ARNHEM",20370
"HDG00","HARDEGARIJP","0737","TJS00","TYTSJERKSTERADIEL","20","LEEUWARDEN",20371
"HDK03","HENDRIK-IDO-AMBACHT","0531","HDK03","HENDRIK-IDO-AMBACHT","15","ROTTERDAM",20372
"HDL01","HEDEL","0263","MDL01","MAASDRIEL","25","ARNHEM",20373
"HDL02","HINDELOOPEN","1900","FLN00","SUDWEST FRYSLAN","20","LEEUWARDEN",20374
"HDN01","HELDEN","1894","PEE00","PEEL EN MAAS","18","ROERMOND",20375
"HDN02","HEUSDEN","0797","HDN02","HEUSDEN","13","BREDA",20376
"HDR00","DEN HELDER","0400","HDR00","DEN HELDER","24","ALKMAAR",20377
"HDV00","HARDINXVELD-GIESSENDAM","0523","HDV00","HARDINXVELD-GIESSENDAM","15","ROTTERDAM",20378
"HDW00","HARDERWIJK","0243","HDW00","HARDERWIJK","25","ARNHEM",20379
"HEE01","HEEL EN PANHEEL","1641","MGW00","MAASGOUW","18","ROERMOND",20380
"HEE02","HEESCH","1721","BHZ03","BERNHEZE","19","EINDHOVEN",20381
"HEE03","HEER","0935","MTT00","MAASTRICHT","18","ROERMOND",20382
"HEE04","HEEG","1900","FLN00","SUDWEST FRYSLAN","20","LEEUWARDEN",20383
"HEI00","HEI- EN BOEICOP","0707","ZDR00","ZEDERIK","15","ROTTERDAM",20384
"HGL01","HENGELO (O)","0164","HGL01","HENGELO (O)","23","ZWOLLE",20385
"HGL02","HENGELO (GLD)","1876","BHT00","BRONCKHORST","25","ARNHEM",20386
"HGL04","HOOGELOON","1728","BDL01","BLADEL","19","EINDHOVEN",20387
"HGS00","HAGESTEIN","0620","VAN00","VIANEN","15","ROTTERDAM",20388
"HGV00","HOOGEVEEN","0118","HGV00","HOOGEVEEN","21","ASSEN",20389
"HGZ00","HOOGEZAND","0018","HGZ00","HOOGEZAND-SAPPEMEER","22","GRONINGEN",20390
"HHG00","HEERHUGOWAARD","0398","HHG00","HEERHUGOWAARD","24","ALKMAAR",20391
"HHM00","HOUTHEM","0994","VKB01","VALKENBURG AAN DE GEUL","18","ROERMOND",20392
"HHS00","HEYTHUYSEN","1640","LDL00","LEUDAL","18","ROERMOND",20393
"HIE00","HIEN","1740","NDR00","NEDER-BETUWE","25","ARNHEM",20394
"HJD00","HEERJANSDAM","0642","ZDT01","ZWIJNDRECHT","15","ROTTERDAM",20395
"HKD00","HEKENDORP","0589","ODW00","OUDEWATER","17","UTRECHT",20396
"HKG00","HERKINGEN","1924","GRE01","GOEREE-OVERFLAKKEE","15","ROTTERDAM",20397
"HKK01","HEEMSKERK","0396","HKK01","HEEMSKERK","24","ALKMAAR",20398
"HKK02","HOOGKERK","0014","GNG00","GRONINGEN","22","GRONINGEN",20399
"HKL00","HEUKELUM","0733","LGW00","LINGEWAAL","25","ARNHEM",20400
"HLD01","HELLENDOORN","0163","HLD01","HELLENDOORN","23","ZWOLLE",20401
"HLD02","HOOGLAND","0307","AMF00","AMERSFOORT","17","UTRECHT",20402
"HLG01","HILLEGOM","0534","HLG01","HILLEGOM","16","ZOETERMEER",20403
"HLG02","HARLINGEN","0072","HLG02","HARLINGEN","20","LEEUWARDEN",20404
"HLG03","HILLEGERSBERG","0599","RTD01","ROTTERDAM","15","ROTTERDAM",20405
"HLM01","HAARLEM","0392","HLM01","HAARLEM","14","AMSTERDAM",20406
"HLM02","HAARLEM II","0392","HLM01","HAARLEM","14","AMSTERDAM",20407
"HLM03","HAARLEMMERMEER","0394","HLM03","HAARLEMMERMEER","14","AMSTERDAM",20408
"HLM04","HAARLEMMERLIEDE EN SPAARNWOUDE","0393","HLM04","HAARLEMMERLIEDE EN SPAARNWOUDE","14","AMSTERDAM",20409
"HLM05","HALLUM","1722","FWD02","FERWERDERADIEL","20","LEEUWARDEN",20410
"HLN01","HEERLEN","0917","HLN01","HEERLEN","18","ROERMOND",20411
"HLN02","HAELEN","1640","LDL00","LEUDAL","18","ROERMOND",20412
"HLO00","HEILOO","0399","HLO00","HEILOO","24","ALKMAAR",20413
"HLV01","HELLEVOETSLUIS","0530","HLV01","HELLEVOETSLUIS","15","ROTTERDAM",20414
"HLV02","NIEUW-HELVOET","0530","HLV01","HELLEVOETSLUIS","15","ROTTERDAM",20415
"HMD00","HELMOND","0794","HMD00","HELMOND","19","EINDHOVEN",20416
"HML01","HARMELEN","0632","WDN01","WOERDEN","17","UTRECHT",20417
"HML02","HUMMELO","1876","BHT00","BRONCKHORST","25","ARNHEM",20418
"HMN01","HEUMEN","0252","HMN01","HEUMEN","25","ARNHEM",20419
"HMN02","HELPMAN","0014","GNG00","GRONINGEN","22","GRONINGEN",20420
"HNO01","HEINO","0177","RTE00","RAALTE","23","ZWOLLE",20421
"HNO02","HEINENOORD","0585","BNM00","BINNENMAAS","15","ROTTERDAM",20422
"HNR00","HOORNAAR","0689","GSL00","GIESSENLANDEN","15","ROTTERDAM",20423
"HOE01","HOEK VAN HOLLAND","0599","RTD01","ROTTERDAM","15","ROTTERDAM",20424
"HOE02","HOEK","0715","TNZ00","TERNEUZEN","12","MIDDELBURG",20425
"HOO00","HOORN","0405","HOO00","HOORN","24","ALKMAAR",20426
"HOR01","HORST","1507","HOR03","HORST AAN DE MAAS","18","ROERMOND",20427
"HOR02","HORN","1640","LDL00","LEUDAL","18","ROERMOND",20428
"HRB00","'S-HEERENBERG","1955","MFL00","MONTFERLAND","25","ARNHEM",20429
"HRK00","HARENKARSPEL","0441","SGN00","SCHAGEN","24","ALKMAAR",20430
"HRN01","HAREN","0017","HRN01","HAREN","22","GRONINGEN",20431
"HRN02","HAAREN","0788","HRN02","HAAREN","19","EINDHOVEN",20432
"HRV01","HEERENVEEN","0074","HRV01","HEERENVEEN","20","LEEUWARDEN",20433
"HRV02","STAD AAN HET HARINGVLIET","1924","GRE01","GOEREE-OVERFLAKKEE","15","ROTTERDAM",20434
"HRW00","HEEREWAARDEN","0263","MDL01","MAASDRIEL","25","ARNHEM",20435
"HSD01","HEEMSTEDE","0397","HSD01","HEEMSTEDE","14","AMSTERDAM",20436
"HSL00","HUNSEL","1640","LDL00","LEUDAL","18","ROERMOND",20437
"HSN01","HUISSEN","1705","LGW01","LINGEWAARD","25","ARNHEM",20438
"HSN02","HORSSEN","0225","DTN03","DRUTEN","25","ARNHEM",20439
"HSR00","HALSTEREN","0748","BGN01","BERGEN OP ZOOM","13","BREDA",20440
"HST00","HASSELT","1896","ZTW02","ZWARTEWATERLAND","23","ZWOLLE",20441
"HTG00","'S-HERTOGENBOSCH","0796","HTG00","'S-HERTOGENBOSCH","19","EINDHOVEN",20442
"HTM00","HATTEM","0244","HTM00","HATTEM","25","ARNHEM",20443
"HTN01","HONTENISSE","0677","HUL00","HULST","12","MIDDELBURG",20444
"HTN02","HERTEN","0957","RMD00","ROERMOND","18","ROERMOND",20445
"HTN03","HOLTEN","1742","RSN02","RIJSSEN-HOLTEN","23","ZWOLLE",20446
"HTN04","HOUTEN","0321","HTN04","HOUTEN","17","UTRECHT",20447
"HTN05","HAAFTEN","0304","NRE00","NEERIJNEN","25","ARNHEM",20448
"HTR00","HETEREN","1734","OVB00","OVERBETUWE","25","ARNHEM",20449
"HTT01","HAASTRECHT","0623","VLI00","VLIST","15","ROTTERDAM",20450
"HTT02","HATERT","0268","NMG00","NIJMEGEN","25","ARNHEM",20451
"HUL00","HULST","0677","HUL00","HULST","12","MIDDELBURG",20452
"HUM00","HIJUM","0081","LWD01","LEEUWARDERADEEL","20","LEEUWARDEN",20453
"HVL00","HOEVELAKEN","0267","NKK01","NIJKERK","25","ARNHEM",20454
"HVN00","HOEVEN","1655","HDB01","HALDERBERGE","13","BREDA",20455
"HVR00","HILVARENBEEK","0798","HVR00","HILVARENBEEK","19","EINDHOVEN",20456
"HVS00","HILVERSUM","0402","HVS00","HILVERSUM","14","AMSTERDAM",20457
"HVT01","HOOGVLIET","0599","RTD01","ROTTERDAM","15","ROTTERDAM",20458
"HVT02","HELVOIRT","0788","HRN02","HAAREN","19","EINDHOVEN",20459
"HVT03","HAVELTE","1701","WTV01","WESTERVELD","21","ASSEN",20460
"HVT04","HEENVLIET","0568","BNS04","BERNISSE","15","ROTTERDAM",20461
"HWD00","HOLWERD","0058","DGR00","DONGERADEEL","20","LEEUWARDEN",20462
"HWK02","HEESWIJK-DINTHER","1721","BHZ03","BERNHEZE","19","EINDHOVEN",20463
"HWN01","HERWEN","0196","RWD00","RIJNWAARDEN","25","ARNHEM",20464
"HWN02","HERWIJNEN","0733","LGW00","LINGEWAAL","25","ARNHEM",20465
"HZE00","HEEZE","1658","HZE00","HEEZE-LEENDE","19","EINDHOVEN",20466
"HZM00","HUIZUM","0080","LWD00","LEEUWARDEN","20","LEEUWARDEN",20467
"HZN00","HUIZEN","0406","HZN00","HUIZEN","14","AMSTERDAM",20468
"HZW00","HAZERSWOUDE","1672","RWD03","RIJNWOUDE","16","ZOETERMEER",20469
"IGN00","INGEN","0214","BRN00","BUREN","25","ARNHEM",20470
"IJL00","IJLST","1900","FLN00","SUDWEST FRYSLAN","20","LEEUWARDEN",20471
"AAL01","AALST (N.B.)","0866","WRE02","WAALRE","19","EINDHOVEN",19926
"AAL02","AALST (GLD)","0297","ZBM00","ZALTBOMMEL","25","ARNHEM",19927
"AAR00","TER AAR","0569","NKP01","NIEUWKOOP","16","ZOETERMEER",19928
"ABB00","ABBENBROEK","0568","BNS04","BERNISSE","15","ROTTERDAM",19929
"ABG00","AALBURG","0738","ABG00","AALBURG","13","BREDA",19930
"ABS01","ALBLASSERDAM","0482","ABS01","ALBLASSERDAM","15","ROTTERDAM",19931
"ABS02","OUD-ALBLAS","1927","MLW00","MOLENWAARD","15","ROTTERDAM",19932
"ABY00","AMBY","0935","MTT00","MAASTRICHT","18","ROERMOND",19933
"ACD00","ABCOUDE","0736","RDE01","DE RONDE VENEN","17","UTRECHT",19934
"ACN00","ARCEN EN VELDEN","0983","VLO00","VENLO","18","ROERMOND",19935
"ADA00","ADUARD","0056","ZHN00","ZUIDHORN","22","GRONINGEN",19936
"ADB00","AARDENBURG","1714","SLU02","SLUIS","12","MIDDELBURG",19937
"ADK00","ANDIJK","0420","MDB02","MEDEMBLIK","24","ALKMAAR",19938
"ADP00","ADORP","0053","WSM04","WINSUM","22","GRONINGEN",19939
"AEL00","AXEL","0715","TNZ00","TERNEUZEN","12","MIDDELBURG",19940
"AER00","AERDT","0196","RWD00","RIJNWAARDEN","25","ARNHEM",19941
"AFD00","AFFERDEN","0225","DTN03","DRUTEN","25","ARNHEM",19942
"AGL00","ANGERLO","0299","ZVN01","ZEVENAAR","25","ARNHEM",19943
"AGR00","ANGEREN","1705","LGW01","LINGEWAARD","25","ARNHEM",19944
"AHM01","ARNHEM","0202","AHM00","ARNHEM","25","ARNHEM",19945
